Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cesd4,cesd10,,radio,I felt that everything I did was an effort,"3, All of the time (5-7 days) | 2, Occasionally or a moderate amount of time (3-4 days) | 1, Some or a little of the time (1-2 days) | 0, Rarely or none of the time (less than 1 day) | -999, Decline to answer",,,,,,,y,,,cesd_matrix,,
cesd5,cesd10,,radio,I felt hopeful about the future,"3, All of the time (5-7 days) | 2, Occasionally or a moderate amount of time (3-4 days) | 1, Some or a little of the time (1-2 days) | 0, Rarely or none of the time (less than 1 day) | -999, Decline to answer",,,,,,,y,,,cesd_matrix,,
cesd6,cesd10,,radio,I felt fearful,"3, All of the time (5-7 days) | 2, Occasionally or a moderate amount of time (3-4 days) | 1, Some or a little of the time (1-2 days) | 0, Rarely or none of the time (less than 1 day) | -999, Decline to answer",,,,,,,y,,,cesd_matrix,,
cesd7,cesd10,,radio,My sleep was restless,"3, All of the time (5-7 days) | 2, Occasionally or a moderate amount of time (3-4 days) | 1, Some or a little of the time (1-2 days) | 0, Rarely or none of the time (less than 1 day) | -999, Decline to answer",,,,,,,y,,,cesd_matrix,,
cesd8,cesd10,,radio,I felt happy,"3, All of the time (5-7 days) | 2, Occasionally or a moderate amount of time (3-4 days) | 1, Some or a little of the time (1-2 days) | 0, Rarely or none of the time (less than 1 day) | -999, Decline to answer",,,,,,,y,,,cesd_matrix,,
cesd9,cesd10,,radio,I felt lonely,"3, All of the time (5-7 days) | 2, Occasionally or a moderate amount of time (3-4 days) | 1, Some or a little of the time (1-2 days) | 0, Rarely or none of the time (less than 1 day) | -999, Decline to answer",,,,,,,y,,,cesd_matrix,,
cesd10,cesd10,,radio,"I could not ""get going""","3, All of the time (5-7 days) | 2, Occasionally or a moderate amount of time (3-4 days) | 1, Some or a little of the time (1-2 days) | 0, Rarely or none of the time (less than 1 day) | -999, Decline to answer",,,,,,,y,,,cesd_matrix,,
cesd_reg_total,cesd10,,calc,CESD-10 regular scored items sum,"sum(if([cesd1] = ""-999"", '0', [cesd1]), if([cesd2] = ""-999"", '0', [cesd2]), if([cesd3] = ""-999"", '0', [cesd3]), if([cesd4] = ""-999"", '0', [cesd4]), if([cesd6] = ""-999"", '0', [cesd6]), if([cesd7] = ""-999"", '0', [cesd7]), if([cesd9] = ""-999"", '0', [cesd9]), if([cesd10] = ""-999"", '0', [cesd10]))",,,,,,,,,,,, @HIDDEN-SURVEY
cesd_rev_total,cesd10,,calc,cesd 10 reverse scored items,"sum(if([cesd5]=3, 0, """"), if([cesd5]=2, 1, """"), if([cesd5]=1, 2, """"), if([cesd5]=0, 3, """"), if([cesd8]=3, 0, """"), if([cesd8]=2, 1, """"), if([cesd8]=1, 2, """"), if([cesd8]=0, 3, """"), if([cesd5]=-999, '',''), if([cesd8]=-999, '',''))",,,,,,,,,,,, @HIDDEN-SURVEY
cesd_all_total,cesd10,,calc,Total CESD-10 score,"sum([cesd_reg_total], [cesd_rev_total])",,,,,,,,,,,, @HIDDEN-SURVEY
cesd_eligible,cesd10,,calc,CESD-10 score >= 10,"if([cesd_all_total] >= 10, 1,0)",,,,,,,,,,,, @HIDDEN-SURVEY
cesd_eligible_text,cesd10,,text,cesd10 score >= 10 requirement text,,,,,,,,,,,,," @CALCTEXT(if([cesd_eligible] = '1', ""Eligible"", ""Not eligible""))
@HIDDEN"
gad_intro,gad7,,descriptive,"<div class=""rich-text-field-label""><h6>Over the last <span style=""font-weight: normal;"">2 weeks</span>, how often have you been bothered by the following problems?</h6></div>",,,,,,,,,,,,,
gad1,gad7,,radio,"Feeling nervous, anxious, or on edge","3, Nearly every day | 2, More than half the days | 1, Several days | 0, Not at all | -999, Decline to answer",,,,,,,y,,,gad_intro,,
gad2,gad7,,radio,Not being able to stop or control worrying,"3, Nearly every day | 2, More than half the days | 1, Several days | 0, Not at all | -999, Decline to answer",,,,,,,y,,,gad_intro,,
gad3,gad7,,radio,Worrying too much about different things,"3, Nearly every day | 2, More than half the days | 1, Several days | 0, Not at all | -999, Decline to answer",,,,,,,y,,,gad_intro,,
gad4,gad7,,radio,Trouble relaxing,"3, Nearly every day | 2, More than half the days | 1, Several days | 0, Not at all | -999, Decline to answer",,,,,,,y,,,gad_intro,,
gad5,gad7,,radio,Being so restless that it is hard to sit still,"3, Nearly every day | 2, More than half the days | 1, Several days | 0, Not at all | -999, Decline to answer",,,,,,,y,,,gad_intro,,
gad6,gad7,,radio,Becoming easily annoyed or irritable,"3, Nearly every day | 2, More than half the days | 1, Several days | 0, Not at all | -999, Decline to answer",,,,,,,y,,,gad_intro,,
gad7,gad7,,radio,Feeling afraid as if something awful might happen,"3, Nearly every day | 2, More than half the days | 1, Several days | 0, Not at all | -999, Decline to answer",,,,,,,y,,,gad_intro,,
gad_total_raw,gad7,,calc,"GAD-7 raw sum, missingness not accounted","sum([gad1], [gad2], [gad3], [gad4], [gad5], [gad6], [gad7])",,,,,,,,,,,, @HIDDEN-SURVEY
gad_total_all,gad7,,calc,"GAD-7 total, missingness accounted","if([gad_total_raw] >= '0', [gad_total_raw],
if([gad_total_raw] < '0', -444,
if(([gad1]='' OR [gad2]='' OR [gad3]='' OR [gad4]='' OR [gad5]='' OR [gad6]='' OR [gad7]=''), -444, [gad_total_raw])))",,,,,,,,,,,, @HIDDEN-SURVEY
gad_is_mild,gad7,,calc,GAD-7 score <= 5 (mild),"if([gad_total_all] <= 5 AND [gad_total_all] >= '0', 1,
if([gad_total_all] < 0, -444,0))",,,,,,,,,,,, @HIDDEN-SURVEY
gad_is_moderate,gad7,,calc,GAD-7 score >= 10 (moderate),"if([gad_total_all] >= 10, 1,
if([gad_total_all] < 0, -444,0))",,,,,,,,,,,, @HIDDEN-SURVEY
gad_is_severe,gad7,,calc,GAD-7 score >= 15 (severe),"if([gad_total_all] >= 15, 1,
if([gad_total_all] < 0, -444,0))",,,,,,,,,,,, @HIDDEN-SURVEY
gad_eligible,gad7,,calc,GAD eligible,"if([gad_total_all] >= 10, 1,0)",,,,,,,,,,,, @HIDDEN-SURVEY
gad_eligible_text,gad7,,text,GAD eligible text,,,,,,,,,,,,," @CALCTEXT(if([gad_is_moderate] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN-SURVEY"
sias_intro,sias_sps,,descriptive,"<div class=""rich-text-field-label""><h6>For each question, please choose the response that indicates the degree to which you feel the statement is characteristic of you. </h6></div>",,,,,,,,,,,,,
sias1,sias_sps,,radio,I have difficulty making eye contact with others,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sias2,sias_sps,,radio,I find it difficult mixing comfortably with the people I work with,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sias3,sias_sps,,radio,I tense up if I meet an acquaintance on the street,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sias4,sias_sps,,radio,I feel tense if I am alone with just one person,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sias5,sias_sps,,radio,I have difficulty talking with other people,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sias6,sias_sps,,radio,I find it difficult to disagree with another's point of view,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sps1,sias_sps,,radio,I get nervous that people are staring at me as I walk down the street,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sps2,sias_sps,,radio,I worry about shaking or trembling when I'm watched by other people,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sps3,sias_sps,,radio,I would get tense if I had to sit facing other people on a bus or train,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sps4,sias_sps,,radio,I worry I might do something to attract the attention of other people,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sps5,sias_sps,,radio,"When in an elevator, I am tense if people look at me","4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sps6,sias_sps,,radio,I can feel conspicuous standing in a line,"4, Extremely characteristic or true of me | 3, Very characteristic or true of me | 2, Moderately characteristic or true of me | 1, Slightly characteristic or true of me | 0, Not at all characteristic or true of me | -999, Decline to answer",,,,,,,y,,,sias_matrix,,
sias_sum,sias_sps,,calc,"SIAS-6 sum score, declines accounted","sum(if([sias1] = -999, '', [sias1]), if([sias2] = -999, '', [sias2]), if([sias3] = -999, '', [sias3]), if([sias4] = -999, '', [sias4]), if([sias5] = -999, '', [sias5]), if([sias6] = -999, '', [sias6]))",,,,,,,,,,,, @HIDDEN-SURVEY
sias_has_socl_anxiety,sias_sps,,calc,SIAS-6 score >= 7,"if([sias_sum] >=7, 1,0)",,,,,,,,,,,, @HIDDEN-SURVEY
sias_eligible_text,sias_sps,,text,SIAS eligible text,,,,,,,,,,,,," @CALCTEXT(if([sias_has_socl_anxiety] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN-SURVEY"
sps_sum,sias_sps,,calc,"SPS-6 sum, declines accounted","sum(if([sps1] = -999, '', [sps1]), if([sps2] = -999, '', [sps2]), if([sps3] = -999, '', [sps3]), if([sps4] = -999, '', [sps4]), if([sps5] = -999, '', [sps5]), if([sps6] = -999, '', [sps6]))",,,,,,,,,,,, @HIDDEN-SURVEY
sps_has_socl_phobia,sias_sps,,calc,SPS-6 score >= 2,"if([sps_sum] >= 2, 1,0)",,,,,,,,,,,, @HIDDEN-SURVEY
sps_eligible_text,sias_sps,,text,SPS eligible text,,,,,,,,,,,,," @CALCTEXT(if([sps_has_socl_phobia] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN-SURVEY"
ptsdscreen,ptsd_screen,,radio,"<div class=""rich-text-field-label""><p>Sometimes things happen to people that are unusually or especially frightening, horrible, or traumatic. For example:</p> <p style=""padding-left: 40px;"">- a serious accident or a fire<br />- a physical or sexual assault or abuse<br />- an earthquake or flood<br />- a war<br />- seeing someone be killed or seriously injured<br />- having a loved one die through homicide or suicide. </p> <p>Have you ever experienced this kind of event?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,,y,,,,,
ptsd_intro,ptsd_screen,,descriptive,"<div class=""rich-text-field-label""><h6>In the past month have you...</h6></div>",,,,,,,[ptsdscreen] = 1,,,,,,
ptsd1,ptsd_screen,,radio,had nightmares about the event(s) or thought about the event(s) when you did not want to?,"1, Yes | 0, No | -999, Decline to answer",,,,,,[ptsdscreen] = 1,y,,,ptsd_matrix,,
ptsd2,ptsd_screen,,radio,tried hard not to think about the event(s) or went out of your way to avoid situations that reminded you of the event(s)?,"1, Yes | 0, No | -999, Decline to answer",,,,,,[ptsdscreen] = 1,y,,,ptsd_matrix,,
ptsd3,ptsd_screen,,radio,"been constantly on guard, watchful, or easily startled?","1, Yes | 0, No | -999, Decline to answer",,,,,,[ptsdscreen] = 1,y,,,ptsd_matrix,,
ptsd4,ptsd_screen,,radio,"felt numb or detatched from people, activities, or your surroundings?","1, Yes | 0, No | -999, Decline to answer",,,,,,[ptsdscreen] = 1,y,,,ptsd_matrix,,
ptsd5,ptsd_screen,,radio,felt guilty or unable to stop blaming yourself or others for the event(s) or any problems the event(s) caused?,"1, Yes | 0, No | -999, Decline to answer",,,,,,[ptsdscreen] = 1,y,,,ptsd_matrix,,
ptsd_sum,ptsd_screen,,calc,"PTSD sum, declines accounted","sum(if([ptsd1]=-999, '', [ptsd1]), if([ptsd2]=-999, '', [ptsd2]), if([ptsd3]=-999, '', [ptsd3]), if([ptsd4]=-999, '', [ptsd4]), if([ptsd5]=-999, '', [ptsd5]))",,,,,,,,,,,, @HIDDEN-SURVEY
ptsd_eligible,ptsd_screen,,calc,PTSD-5 score >= 3,"if([ptsd_sum] >= 3, 1,0)",,,,,,,,,,,, @HIDDEN-SURVEY
ptsd_eligible_text,ptsd_screen,,text,PTSD eligible text,,,,,,,,,,,,," @CALCTEXT(if([ptsd_eligible] = 1, ""Eligible"", ""Not Eligible""))
@HIDDEN-SURVEY"
taps1,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you smoke a cigarette containing tobacco?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps1a,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you usually smoke more than 10 cigarettes each day?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps1] = 1,y,,,,,
taps1b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you usually smoke within 30 minutes of waking?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps1] = 1,y,,,,,
taps2,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you have a drink containing alcohol?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps2a,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you have 5 or more drinks containing alcohol in a day?</p> <p>1 standard drink is about 1 small glass of wine (5 oz), or one beer (12 oz), or one single shot of liquor</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps2] = 1,y,,,,,
taps2b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, Have you tried and failed to control, cut down, or stop drinking?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps2] = 1,y,,,,,
taps2c,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, has anyone expressed concern about your drinking? </p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps2] = 1,y,,,,,
taps3,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use marijuana (hash, weed)? </p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps3a,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, have you had a strong desire or urge to use marijuana at least once a week or more often?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps3] = 1,y,,,,,
taps3b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, Has anyone expressed concerns about your use of marijuana?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps3] = 1,y,,,,,
taps4,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, Did you use cocaine, crack, or methamphetamine (crystal meth)?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps4a,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use cocaine, crack, or methamphetamine (crystal meth) at least once each week or more often?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps4] = 1,y,,,,,
taps4b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, has anyone expressed concern about your use of a cocaine, crack, or methamphetamine (crystal meth)?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps4] = 1,y,,,,,
taps5,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use heroin?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps5a,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, have you tried and failed to control, cut down, or stop using heroin?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps5] = 1,y,,,,,
taps5b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, has anyone expressed concern about your use of heroin?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps5] = 1,y,,,,,
taps6,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use a prescription opiate pain reliever (for example, Percocet, Vicodin) not as prescribed or that was not prescribed for you?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps6a,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, have you tried and failed to control, cut down, or stop using an opiate pain reliever?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps6] = 1,y,,,,,
taps6b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, has anyone expressed concern about your use of an opiate pain reliever?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps6] = 1,y,,,,,
taps7,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use a medication for anxiety or sleep (for example, Xanax, Ativan, or Klonopin) not as prescribed or that was not prescribed for you?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps7a,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, have you had a strong desire or urge to use medications for anxiety or sleep at least once a week or more often?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps7] = 1,y,,,,,
taps7b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, has anyone expressed concern about your use of medication for anxiety or sleep?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps7] = 1,y,,,,,
taps8,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use a medication for ADHD (for example, Aderall, Ritalin) not as prescribed or that was not prescribed for you?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps8a,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use a medication for ADHD (for example, Adderall, Ritalin) at least once a week or more often?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps8] = 1,y,,,,,
taps8b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, has anyone expressed concern about your use of a medication for ADHD (for example, Adderall or Ritalin)? </p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps8] = 1,y,,,,,
taps9,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use any other illegal or recreational drug (for example, ecstasy/molly, GHB, poppers, LSD, mushrooms, special K, bath salts, synthetic marijuana ('spice'), whip-its, etc.?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
taps9a,taps2,,text,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, what were the other drug(s) you used?</p></div>",,,,,,,[taps9] = 1,y,,,,,
taps9b,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, did you use [taps9a] at least once a week or more often?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps9] = 1,y,,,,,
taps9c,taps2,,radio,"<div class=""rich-text-field-label""><p>In the PAST THREE MONTHS, has anyone expressed concern about your use of [taps9a]?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[taps9] = 1,y,,,,,
cbcs1,cbcs,,radio,"<div class=""rich-text-field-label""><p>Did you ever wish you had a better strategy to protect yourself from HIV? </p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
cbcs2,cbcs,,radio,"<div class=""rich-text-field-label""><p>Did you ever experience stress or distress because of HIV-related thoughts or concerns?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
cbcs3,cbcs,,radio,"<div class=""rich-text-field-label""><p>Did thinking about getting HIV ever interfere with your sex life or sexual relationships?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
cbcs4,cbcs,,radio,"<div class=""rich-text-field-label""><p>Did you ever worry about a partner's HIV status?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
cbc25,cbcs,,radio,"<div class=""rich-text-field-label""><p>Think back to the last time you had a cold or flu. Did you worry it might be HIV?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
sbm_intro,sexual_behavior,,descriptive,"<div class=""rich-text-field-label""><h6 style=""text-align: center;"">We want to ask you some questions about times you've had sex in the past month. </h6> <h6 style=""text-align: center;"">When we say ""anal sex,"" we mean when a penis is put into the anus or butt. We will ask you about male and/or transgender female sex partners. By male, we mean someone who was considered male at birth and who currently identifies as male. By transgender female, we mean someone who was considered male at birth and who currently identifies primarily as female.</h6></div>",,,,,,,,,,,,,
sbm1,sexual_behavior,,text,"<div class=""rich-text-field-label""><p>In the past month, approximately how many male and/or transgender female sex partners did you have? By sex partner, we mean someone who you had anal sex with.</p></div>",,Type -999 to decline to answer,integer,,,,,y,,,,, @PLACEHOLDER = 'Number of partners'
sbm1_a,sexual_behavior,,text,"<div class=""rich-text-field-label""><p>Of these <span style=""color: #244aba;"">[sbm1] </span>sex partners, approximately how many told you their HIV status?</p></div>",,Type -999 to decline to answer,integer,,[sbm1],,[sbm1] >= 1,y,,,,, @PLACEHOLDER = 'Number of partners'
sbm1_a_i,sexual_behavior,,text,"<div class=""rich-text-field-label""><p>Of these <span style=""color: #244aba;"">[sbm1_a]</span> sex partners who told you their HIV status, how many were HIV positive?</p></div>",,Type -999 to decline to answer,integer,,[sbm1_a],,[sbm1_a] >= 1,y,,,,, @PLACEHOLDER = 'Number of partners'
sbm1_b,sexual_behavior,,text,"<div class=""rich-text-field-label""><p>Now we will shift to the number of times you had sex.</p> <p>In the past month, approximately how many times did you have  anal sex?</p></div>",,Type -999 to decline to answer,integer,,,,[sbm1] >= 1,y,,,,, @PLACEHOLDER='Number of times'
sbm1_b_i,sexual_behavior,,text,"<div class=""rich-text-field-label""><p>Of the <span style=""color: #244aba;"">[sbm1_b]</span> times when you had anal sex in the past month, approximately how many times was it without a condom?</p></div>",,Type -999 to decline to answer,integer,,[sbm1_b],,[sbm1_b] >= 1,y,,,,, @PLACEHOLDER='Number of times'
sbm1_b_ii,sexual_behavior,,text,"<div class=""rich-text-field-label""><p>Of these <span style=""color: #244aba;"">[sbm1_b_i] </span>times that you had anal sex without a condom in the past month, approximately how many were with partners whose HIV status you did not know?</p></div>",,Type -999 to decline to answer,integer,,[sbm_b_i],,[sbm1_b_i] >= 1,y,,,,, @PLACEHOLDER='Number of times'
sbm1_diff,sexual_behavior,,calc,"<div class=""rich-text-field-label""><p>Difference between sbm1_b_i and sbm1_b_ii</p></div>",[sbm1_b_i] - [sbm1_b_ii],,,,,,,,,,,, @HIDDEN
sbm1_c,sexual_behavior,,text,"<div class=""rich-text-field-label""><p>That leaves <span style=""color: #244aba;"">[sbm1_diff]</span> times that you had anal sex without a condom with partners whose HIV status you did know in the past month. Of these <span style=""color: #244aba;"">[sbm1_diff] </span>times, approximately how many were with partners who were HIV positive?</p></div>",,Type -999 to decline to answer,integer,,[sbm1_diff],,"[sbm1_diff] > ""0"" AND [sbm1_diff] <> """"",y,,,,, @PLACEHOLDER='Number of times'
hivsti_intro,hiv_status_sti_history,,descriptive,"<div class=""rich-text-field-label""><h6>Please read the following questions and select the response option(s) to the best of your knowledge</h6></div>",,,,,,,,,,,,,
hivsti_testever,hiv_status_sti_history,,radio,"<div class=""rich-text-field-label""><p>Have you ever been tested for HIV?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,,y,,,,,
hivsti_testlast_table,hiv_status_sti_history,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 38.4724%; border-style: hidden;""> </td> <td style=""width: 27.2984%; text-align: center; border-style: hidden;"">Month</td> <td style=""width: 15.983%; text-align: center; border-style: hidden;"">Day</td> <td style=""width: 18.3876%; text-align: center; border-style: hidden;"">Year</td> </tr> <tr> <td style=""width: 38.4724%; border-style: hidden; text-align: left;"">Approximately when were you last tested for HIV? (if you're not sure, please give us your best guess)</td> <td style=""width: 27.2984%; border-style: hidden; text-align: left;"">{hivsti_testlast_mm}</td> <td style=""width: 15.983%; border-style: hidden; text-align: center;"">{hivsti_testlast_dd}</td> <td style=""width: 18.3876%; border-style: hidden; text-align: center;"">{hivsti_testlast_yr}</td> </tr> </tbody> </table></div>",,,,,,,[hivsti_testever] = 1,,,,,,
hivsti_testlast_mm,hiv_status_sti_history,,dropdown,"<div class=""rich-text-field-label""><p>Month of last HIV test</p></div>","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December",,autocomplete,,,,,y,,,,,
hivsti_testlast_dd,hiv_status_sti_history,,text,Day of last HIV test,,,integer,1,31,,,y,,,,,
hivsti_testlast_yr,hiv_status_sti_history,,text,Year of last HIV test,,4 digit year (YYYY),integer,1900,2030,,,y,,,,, @PLACEHOLDER='YYYY'
hivsti_result,hiv_status_sti_history,,radio,"<div class=""rich-text-field-label""><p>What was the result of your last HIV test?</p></div>","1, Negative | 2, Indeterminate | 3, Positive | 4, Didn't return for results | -999, Decline to answer",,,,,,[hivsti_testever] = 1,y,,,,,
hivsti_art,hiv_status_sti_history,,radio,"<div class=""rich-text-field-label""><p>Did you begin antiretroviral therapy? </p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,[hivsti_result] = 3,y,,,,,
hivsti_stitest,hiv_status_sti_history,,radio,"<div class=""rich-text-field-label""><p>Have you ever been tested for a sexually transmitted infection (STI), such as syphilis, gonorrhea, or chlamydia? </p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,,y,,,,,
hivsti_dxs,hiv_status_sti_history,,checkbox,"<div class=""rich-text-field-label""><p>What STIs have you been diagnosed with in the last 3 months? (check all that apply)</p></div>","1, Chlamydia | 2, Syphilis | 3, Gonorrhea | 4, Herpes | 5, Hepatitis A | 6, Hepatitis B | 7, Hepatitis C | 8, Other {hivsti_dxs_oth} | 9, None of the above | -999, Decline to answer",,,,,,[hivsti_stitest] = 1,y,,,,," @NONEOFTHEABOVE = '9, -999'"
hivsti_dxs_oth,hiv_status_sti_history,,text,"<div class=""rich-text-field-label""><p>Other STI diagnosis(es) received, specified</p></div>",,,,,,,[hivsti_dxs(8)],y,,,,, @PLACEHOLDER='please specify'
subnormprep1,prep_subjective_norms,,radio,<u>My friends</u> would be supportive of me using PrEP,"1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline or missing",,,,,,,y,,,subnormprep_matrix,,
